AREA,PERIMETER,__GRID_COD,__CLC_CODE,__LABEL1,__LABEL2,__LABEL3,AreaTOT,PerimetroT,id_grid,Area_m2,Perim_m,AreaSulQua,PerimSulQu,AreaSulPol,PerimSulPo
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,267,45744.989,1141.460,29,71,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,268,35437.816,1035.669,22,65,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,269,40145.657,1106.373,25,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,270,37986.861,1007.172,24,63,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,271,40295.859,1065.481,25,67,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,272,42731.330,1065.616,27,67,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,273,6989.380,417.470,4,26,0.000,0.006
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,274,25687.706,797.133,16,50,0.001,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,275,29386.863,853.448,18,53,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,282,423.444,98.697,0,6,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,283,44612.819,1099.852,28,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,284,27205.657,849.601,17,53,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,285,1140.740,165.634,1,10,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,286,46829.447,1258.607,29,79,0.001,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,287,952.849,162.454,1,10,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,335,1091.736,621.603,1,39,0.000,0.008
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,339,1742.151,228.956,1,14,0.000,0.003
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,340,50815.624,1229.904,32,77,0.001,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,341,8972.432,495.050,6,31,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,342,1185.017,200.688,1,13,0.000,0.003
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,343,17591.737,821.313,11,51,0.000,0.011
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,344,47225.255,1145.100,30,72,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,345,33323.857,933.104,21,58,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,355,20365.198,666.188,13,42,0.001,0.009
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,356,41727.640,1099.973,26,69,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,357,55655.943,1223.760,35,76,0.002,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,358,7607.645,465.815,5,29,0.000,0.006
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,413,33536.764,971.985,21,61,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,414,34024.920,1007.119,21,63,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,415,25222.321,847.902,16,53,0.001,0.012
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,416,790.771,322.243,0,20,0.000,0.004
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,428,11815.119,517.658,7,32,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,429,50142.989,1268.920,31,79,0.001,0.017
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,430,8680.215,427.743,5,27,0.000,0.006
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,431,47527.843,1085.604,30,68,0.001,0.015
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,432,14935.035,506.354,9,32,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,504,46.001,34.835,0,2,0.000,0.000
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,505,21412.066,945.605,13,59,0.001,0.013
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,506,33906.481,1049.592,21,66,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,507,43503.281,1018.214,27,64,0.001,0.014
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,582,13718.429,585.411,9,37,0.000,0.008
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,583,49748.720,1206.920,31,75,0.001,0.016
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,584,88.821,45.826,0,3,0.000,0.001
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,585,464.659,113.912,0,7,0.000,0.002
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,661,9290.930,490.248,6,31,0.000,0.007
3529847197.12000036240,7334667.20397999976,44.000000,"523",Water bodies,Marine waters,Sea and ocean,3529847197.12000036240,7334667.20397999976,662,52626.654,1250.405,33,78,0.001,0.017
